0,1.03185297279706
0.001,-991.795374311444
0.002,-1968.3672602381
0.003,-2701.34090931443
0.004,-3242.52691047948
0.005,-3649.38841822991
0.006,-3953.03492882555
0.007,-4193.2777060036
0.008,-4385.50104894361
0.009,-4540.29190651562
0.01,-4665.89124929631
0.011,-4768.7111691062
0.012,-4853.73816747627
0.013,-4927.93025274185
0.014,-5002.133239682
0.015,-5077.36183326223
0.016,-5152.56495720213
0.017,-5229.39776017899
0.018,-5317.09175531905
0.019,-5414.59288923868
0.02,-5508.62757307623
0.021,-5580.52522880246
0.022,-5589.72496694013
0.023,-5474.79755477251
0.024,-5180.03829754623
0.025,-4732.64483506318
0.026,-4232.01335550373
0.027,-3785.48471204897
0.028,-3469.78593214514
0.029,-3315.92814785721
0.03,-3308.61059671393
0.031,-3281.2373479802
0.032,-3035.15576229179
0.033,-2646.14584958458
0.034,-2211.41938013739
0.035,-1820.20767799476
0.036,-1534.46126345617
0.037,-1381.52964607705
0.038,-1355.97445789013
0.039,-1428.09115466662
0.04,-1556.13352805292
0.041,-1698.04661645163
0.042,-1818.693907804
0.043,-1894.78237594864
0.044,-1916.79850326672
0.045,-1887.36819916468
0.046,-1818.75429704298
0.047,-1728.49471921626
0.048,-1634.78618911841
0.049,-1552.8854523719
0.05,-1492.59256378191
0.051,-1457.4410256941
0.052,-1445.37791062317
0.053,-1450.3425050181
0.054,-1464.4871438203
0.055,-1480.06784649102
0.056,-1490.90965165966
0.057,-1493.25516764338
0.058,-1485.94105645084
0.059,-1470.01943543689
0.06,-1448.17987899895
0.061,-1423.79651343439
0.062,-1400.10394559535
0.063,-1379.58128402583
0.064,-1363.62011154868
0.065,-1352.48108463848
0.066,-1345.48510795211
0.067,-1341.34977986012
0.068,-1338.57240750236
0.069,-1335.77339512929
0.07,-1331.94062506293
0.071,-1326.46461683476
0.072,-1318.893839338
0.073,-1309.31030299829
0.074,-1298.29711021296
0.075,-1286.6769072268
0.076,-1275.28850799478
0.077,-1264.79659536141
0.078,-1255.56091230444
0.079,-1247.72509142752
0.08,-1241.17532803939
0.081,-1235.61650374643
0.082,-1230.66876232689
0.083,-1225.96050150469
0.084,-1221.19968640922
0.085,-1216.21370581621
0.086,-1210.95648281298
0.087,-1205.48846770987
0.088,-1199.93942767709
0.089,-1194.46530425446
0.09,-1189.209189458
0.091,-1184.27347132934
0.092,-1179.70640915499
0.093,-1175.49738272513
0.094,-1171.59573306497
0.095,-1167.93478390339
0.096,-1164.44215327968
0.097,-1161.05493531288
0.098,-1157.72972732642
0.099,-1154.44654747699
0.1,-1151.20714689124
0.101,-1148.02926377555
0.102,-1144.93886942929
0.103,-1141.96242996031
0.104,-1139.12077088377
0.105,-1136.4254619541
0.106,-1133.87798413273
0.107,-1131.47123645536
0.108,-1129.11597169684
0.109,-1126.81719858705
0.11,-1124.59153573976
0.111,-1122.45834812662
0.112,-1120.43490603867
0.113,-1118.53331689425
0.114,-1116.75939864641
0.115,-1115.11319435673
0.116,-1113.59061927836
0.117,-1112.18227069955
0.118,-1110.88069486088
0.119,-1109.68202282012
0.12,-1108.58633235813
0.121,-1107.59668580682
0.122,-1106.72075235003
0.123,-1105.99140442812
0.124,-1105.42338680812
0.125,-1105.01388718575
0.126,-1104.74679454787
0.127,-1104.598830384
0.128,-1104.54598839937
0.129,-1104.56875296437
0.13,-1104.65522320732
0.131,-1104.80189841517
0.132,-1105.01246423623
0.133,-1105.2961804278
0.134,-1105.66388757413
0.135,-1106.12379036052
0.136,-1106.67895306981
0.137,-1107.33321345958
0.138,-1108.08292572696
0.139,-1108.9182104391
0.14,-1109.82556136629
0.141,-1110.79088407022
0.142,-1111.80191865969
0.143,-1112.84979005693
0.144,-1113.92953693059
0.145,-1115.03972492519
0.146,-1116.18196407104
0.147,-1117.35970374506
0.148,-1118.5758408691
0.149,-1119.83164596616
0.15,-1121.12626883081
0.151,-1122.45685949755
0.152,-1123.81904737809
0.153,-1125.20767827189
0.154,-1126.61759996656
0.155,-1128.04432481766
0.156,-1129.48272944351
0.157,-1130.92855436857
0.158,-1132.38055798344
0.159,-1133.84065188992
0.16,-1135.31193860358
0.161,-1136.79664325917
0.162,-1138.29491060912
0.163,-1139.80450653462
0.164,-1141.32119185702
0.165,-1142.83961189974
0.166,-1144.3544018892
0.167,-1145.86120041741
0.168,-1147.35734291984
0.169,-1148.84212029019
0.17,-1150.31660663497
0.171,-1151.7852556937
0.172,-1153.25464873439
0.173,-1154.72920116024
0.174,-1156.21068364091
0.175,-1157.6983790844
0.176,-1159.18973493941
0.177,-1160.69089526365
0.178,-1162.22206039428
0.179,-1163.78657032307
0.18,-1165.37421742069
0.181,-1166.96673899337
0.182,-1168.54380179182
0.183,-1170.08820280958
0.184,-1171.58927808343
0.185,-1173.00766139007
0.186,-1174.33691163993
0.187,-1175.6121852457
0.188,-1176.86967934257
0.189,-1178.13874348865
0.19,-1179.43716426971
0.191,-1180.76995249024
0.192,-1182.13114396043
0.193,-1183.50758412173
0.194,-1184.88346034869
0.195,-1186.2444476718
0.196,-1187.58065700689
0.197,-1188.88732643478
0.198,-1190.16490060496
0.199,-1191.41828177857
0.2,-1192.65527031015
0.201,-1193.88464470126
0.202,-1195.1143591054
0.203,-1196.35018910722
0.204,-1197.59503108124
0.205,-1198.84921513782
0.206,-1200.11058743674
0.207,-1201.37538331225
0.208,-1202.63924475489
0.209,-1203.8982264473
0.21,-1205.14950760334
0.211,-1206.39175238454
0.212,-1207.6251017925
0.213,-1208.85094196417
0.214,-1210.07132941468
0.215,-1211.28837925744
