0,0
0.001,3.33030810293842e-07
0.002,6.11134160009197e-07
0.003,8.26716071912553e-07
0.004,9.79135299056334e-07
0.005,1.07770783889874e-06
0.006,1.13451441192015e-06
0.007,1.16472148557149e-06
0.008,1.18525501152943e-06
0.009,1.21144643049596e-06
0.01,1.25581338933695e-06
0.011,1.32925719406186e-06
0.012,1.43648886394702e-06
0.013,1.57493139946191e-06
0.014,1.71500250656922e-06
0.015,1.85832276220188e-06
0.016,2.00334244635821e-06
0.017,2.14817411716175e-06
0.018,2.29118972445956e-06
0.019,2.43114540758612e-06
0.02,2.5672136640406e-06
0.021,2.69894211237761e-06
0.022,2.84453149146979e-06
0.023,3.01683437752314e-06
0.024,3.21939321703122e-06
0.025,3.45376139806451e-06
0.026,3.71617051095804e-06
0.027,4.00207619750384e-06
0.028,4.3084660495023e-06
0.029,4.63085402260481e-06
0.03,4.96509003961375e-06
0.031,5.3073598684024e-06
0.032,5.65419412411271e-06
0.033,6.00244326522408e-06
0.034,6.3492480602728e-06
0.035,6.69201270550773e-06
0.036,7.02837513234329e-06
0.037,7.35617568748065e-06
0.038,7.67338166941963e-06
0.039,7.97812428734409e-06
0.04,8.26858318020267e-06
0.041,8.54299853490411e-06
0.042,8.79961581489287e-06
0.043,9.03661746128155e-06
0.044,9.25202712989802e-06
0.045,9.44350891308647e-06
0.046,9.60774086369086e-06
0.047,9.73874415355585e-06
0.048,9.86511257324481e-06
0.049,9.98556930750459e-06
0.05,1.0098948662136e-05
0.051,1.0204261803007e-05
0.052,1.03007520021413e-05
0.053,1.0387898850764e-05
0.054,1.04654120055001e-05
0.055,1.05332106955725e-05
0.056,1.05913939777738e-05
0.057,1.0640205908792e-05
0.058,1.06799992590609e-05
0.059,1.07111980833494e-05
0.06,1.07342633140901e-05
0.061,1.07496625584496e-05
0.062,1.07578451667375e-05
0.063,1.07592223813285e-05
0.064,1.07541529814102e-05
0.065,1.07429337351056e-05
0.066,1.07257939876931e-05
0.067,1.0702894364915e-05
0.068,1.06743290125979e-05
0.069,1.06401306326459e-05
0.07,1.06002775789997e-05
0.071,1.05547023481425e-05
0.072,1.05033008822776e-05
0.073,1.04459421862226e-05
0.074,1.03824778402838e-05
0.075,1.03127510706866e-05
0.076,1.0236605115239e-05
0.077,1.01538906930739e-05
0.078,1.0064456363164e-05
0.079,9.96817327680406e-06
0.08,9.86922945466792e-06
0.081,9.77247807529024e-06
0.082,9.67318045043469e-06
0.083,9.56431209940701e-06
0.084,9.4463480959699e-06
0.085,9.32016097425449e-06
0.086,9.18687556765803e-06
0.087,9.04773243319892e-06
0.088,8.90400896595615e-06
0.089,8.7569496762467e-06
0.09,8.60771645003683e-06
0.091,8.45735557800065e-06
0.092,8.30677853505976e-06
0.093,8.15675373811367e-06
0.094,8.00790679571778e-06
0.095,7.86072706885311e-06
0.096,7.71557867065005e-06
0.097,7.57271433293312e-06
0.098,7.43229085014804e-06
0.099,7.29438507081102e-06
0.1,7.15900963964981e-06
0.101,7.02612789823212e-06
0.102,6.89566752808967e-06
0.103,6.76753266873055e-06
0.104,6.64161436510912e-06
0.105,6.51779929725374e-06
0.106,6.39597682116148e-06
0.107,6.2760444072905e-06
0.108,6.15791160374248e-06
0.109,6.04150267787572e-06
0.11,5.92675810518742e-06
0.111,5.8136350799191e-06
0.112,5.7021072201292e-06
0.113,5.59216363255087e-06
0.114,5.48380749108231e-06
0.115,5.37705426853173e-06
0.116,5.27285529317931e-06
0.117,5.17198525780952e-06
0.118,5.07491610563315e-06
0.119,4.98207749065303e-06
0.12,4.89384624895882e-06
0.121,4.81053766554269e-06
0.122,4.7323987936428e-06
0.123,4.65891252954184e-06
0.124,4.58990660782525e-06
0.125,4.52541420001622e-06
0.126,4.46542257227286e-06
0.127,4.40980098011528e-06
0.128,4.3582278656938e-06
0.129,4.31058504532906e-06
0.13,4.26672968095307e-06
0.131,4.2264977696492e-06
0.132,4.1895468237618e-06
0.133,4.1556796715255e-06
0.134,4.12469783301266e-06
0.135,4.09639513829385e-06
0.136,4.07055993049413e-06
0.137,4.04689183395036e-06
0.138,4.0251751908072e-06
0.139,4.00519745982763e-06
0.14,3.98674501163934e-06
0.141,3.96960377515571e-06
0.142,3.95355979980173e-06
0.143,3.93839980062774e-06
0.144,3.92391173583493e-06
0.145,3.90988545008365e-06
0.146,3.89611340225245e-06
0.147,3.88239148294144e-06
0.148,3.86860474066886e-06
0.149,3.85485656776334e-06
0.15,3.84094711441424e-06
0.151,3.82667655475555e-06
0.152,3.81184564128197e-06
0.153,3.79625651236805e-06
0.154,3.77971415748095e-06
0.155,3.7620281923671e-06
0.156,3.74301482721916e-06
0.157,3.72249892071284e-06
0.158,3.70025755125974e-06
0.159,3.67610399250157e-06
0.16,3.6498965891042e-06
0.161,3.62151176607298e-06
0.162,3.59084559519936e-06
0.163,3.55777300712725e-06
0.164,3.52211374970797e-06
0.165,3.48382848361776e-06
0.166,3.44290348168492e-06
0.167,3.39935069596931e-06
0.168,3.35309184737356e-06
0.169,3.30404509211334e-06
0.17,3.25230765647162e-06
0.171,3.19800510956949e-06
0.172,3.14128889286038e-06
0.173,3.0823340544437e-06
0.174,3.02078719288764e-06
0.175,2.95684692941718e-06
0.176,2.89083704024718e-06
0.177,2.8231076163376e-06
0.178,2.75402968684416e-06
0.179,2.68398887340451e-06
0.18,2.61337842979905e-06
0.181,2.54300565898744e-06
0.182,2.47364342832878e-06
0.183,2.40561477619238e-06
0.184,2.33919898304454e-06
0.185,2.27462614013637e-06
0.186,2.21207383735057e-06
